Wall time,Step,Value
1689310278.2723923,306532,993.0
1689310291.1178496,308148,958.5700073242188
1689310309.9563644,310604,986.6599731445312
1689310312.7859554,310968,988.1300048828125
1689310319.257873,311796,983.8599853515625
1689310337.1646125,314088,952.3800048828125
1689310374.188754,318688,982.5599975585938
1689310412.8213134,323208,972.969970703125
1689310427.3129566,324948,965.9099731445312
1689310432.2790601,325596,978.6599731445312
1689310438.385972,326324,986.8900146484375
1689310450.5090213,327848,979.8400268554688
1689310465.0012915,329644,975.1799926757812
1689310479.503403,331488,987.3900146484375
1689310489.3143814,332732,966.2000122070312
1689310534.3996217,338312,978.77001953125
1689310540.1505377,339048,972.3499755859375
1689310541.402793,339196,974.030029296875
1689310546.136724,339768,970.4099731445312
1689310600.6464717,346360,958.219970703125
1689310608.531452,347352,970.5499877929688
1689310628.6771488,349640,972.9600219726562
1689310640.8038123,351104,967.1900024414062
1689310645.7213333,351656,962.8200073242188
1689310678.2496798,355724,989.25
1689310689.1439989,357068,976.6300048828125
1689310697.288251,358040,974.1799926757812
1689310704.73483,358972,982.7899780273438
1689310726.1606433,361604,986.3699951171875
1689310732.8829243,362432,991.1699829101562
1689310735.244845,362712,1005.3400268554688
1689310749.6857767,364560,1011.3499755859375
1689310753.7614226,365076,1021.8400268554688
1689310764.4053404,366404,1026.93994140625
1689310807.0949204,371600,1046.9200439453125
1689310809.769798,371944,1046.9200439453125
1689310826.217104,373960,1040.31005859375
1689310828.1243055,374200,1043.449951171875
1689310844.7792153,376292,1070.56005859375
1689310851.4156413,377136,1071.239990234375
1689310860.4087422,378256,1054.0899658203125
1689310870.3366666,379492,1047.1099853515625
1689310890.5777948,382072,1067.6600341796875
1689310904.384457,383832,1080.1300048828125
1689310905.3684788,383956,1072.219970703125
1689310917.623353,385492,1073.6700439453125
1689310923.3471794,386220,1087.050048828125
1689310926.5923157,386656,1098.9000244140625
1689310927.8327408,386804,1098.9000244140625
1689310933.8059497,387572,1089.31005859375
1689310970.1539772,392140,1089.280029296875
1689310982.0053287,393636,1100.3900146484375
1689310984.722121,393980,1105.93994140625
1689310988.980978,394500,1095.0
1689310998.6611059,395664,1102.3699951171875
1689311001.9289086,396060,1103.6800537109375
1689311004.3930407,396360,1094.239990234375
1689311007.813903,396788,1087.5799560546875
1689311016.4652405,397908,1088.6800537109375
1689311029.0891936,399468,1096.0400390625
1689311038.148782,400504,1085.1400146484375
1689311047.869721,401684,1074.3399658203125
1689311053.7165406,402416,1083.1600341796875
1689311072.4036834,404804,1096.1300048828125
1689311074.1734939,405040,1096.1300048828125
1689311083.5650733,406216,1112.02001953125
1689311090.0594652,407036,1113.6099853515625
1689311090.832225,407132,1113.47998046875
1689311092.9021578,407404,1113.47998046875
1689311097.2631667,407948,1097.219970703125
1689311108.699403,409404,1092.1500244140625
1689311109.5743937,409520,1091.550048828125
1689311111.4156525,409768,1091.550048828125
1689311117.4779263,410544,1076.5699462890625
1689311127.210208,411832,1079.9300537109375
1689311134.903833,412840,1077.3800048828125
1689311142.228362,413796,1075.1099853515625
1689311148.7540963,414644,1046.2900390625
1689311157.5416117,415808,1033.3900146484375
1689311198.662269,421096,1055.4200439453125
1689311230.588927,425204,1049.93994140625
1689311236.35362,425956,1046.8199462890625
1689311247.6998985,427424,1055.5699462890625
1689311259.6230676,428956,1067.469970703125
1689311275.0190935,430952,1045.1800537109375
1689311277.488134,431276,1046.3699951171875
1689311309.0109482,435372,1091.4200439453125
1689311310.4433453,435556,1091.3399658203125
1689311322.6382031,437128,1068.47998046875
1689311325.3987298,437492,1061.97998046875
1689311362.972849,442348,1063.5
1689311369.119475,443152,1065.1300048828125
1689311372.464208,443560,1070.4300537109375
1689311385.7409296,445232,1055.719970703125
1689311419.2794032,449584,1083.22998046875
1689311422.8565729,450032,1107.4100341796875
1689311436.3275313,451784,1104.6800537109375
1689311439.187758,452148,1108.18994140625
1689311442.5942485,452588,1108.02001953125
1689311451.4084706,453720,1095.6400146484375
1689311471.4687848,456308,1090.0999755859375
1689311488.5287702,458480,1074.3399658203125
1689311493.0346334,459072,1074.3399658203125
1689311498.4067945,459748,1080.68994140625
1689311513.5614479,461724,1089.030029296875
1689311531.5483584,464068,1124.3399658203125
1689311557.1508129,467356,1149.8699951171875
1689311587.6416008,471212,1187.52001953125
1689311651.4557266,479312,1220.0699462890625
1689311652.7637913,479476,1220.0699462890625
1689311668.9528453,481548,1190.719970703125
1689311682.9348335,483352,1207.3800048828125
1689311684.7677634,483596,1207.3800048828125
1689311685.9626403,483740,1208.5400390625
1689311698.5382886,485384,1223.8800048828125
1689311705.4693325,486296,1217.3399658203125
1689311713.0874643,487268,1224.9100341796875
1689311714.0706162,487404,1224.9100341796875
1689311716.433271,487712,1224.9100341796875
1689311725.1563597,488828,1239.6600341796875
1689311726.7103863,489012,1234.8900146484375
1689311758.5238316,493152,1217.9599609375
1689311805.3390465,499156,1179.969970703125
1689311816.6860483,500580,1185.969970703125
1689311834.6370485,502912,1219.199951171875
1689311839.6749763,503564,1215.5999755859375
1689311841.8035014,503828,1211.6199951171875
1689311856.5648162,505748,1193.2900390625
1689311867.0124526,507104,1214.0699462890625
1689311890.9360673,510204,1244.5699462890625
1689311892.7918372,510436,1252.199951171875
1689311898.8339505,511204,1259.9000244140625
1689311902.702791,511704,1267.5400390625
1689311915.694622,513352,1274.050048828125
1689311936.0760086,515940,1260.8299560546875
1689311941.814765,516696,1251.989990234375
1689311983.5741138,522096,1284.8800048828125
1689311988.0079052,522656,1278.1099853515625
1689312054.573492,531228,1347.699951171875
1689312072.1259854,533496,1349.6700439453125
1689312138.9601998,542032,1347.6400146484375
1689312149.3002033,543344,1346.969970703125
1689312171.4340153,546196,1362.3399658203125
1689312187.850621,548308,1378.8699951171875
1689312200.9628787,549988,1374.8399658203125
1689312205.4541662,550568,1371.75
1689312214.2773263,551720,1373.97998046875
1689312218.799276,552300,1395.489990234375
1689312229.755842,553716,1397.8299560546875
1689312231.2478623,553900,1402.800048828125
1689312248.58669,556120,1402.06005859375
1689312276.2507854,559712,1404.9200439453125
1689312306.216012,563568,1414.9000244140625
1689312312.7448575,564404,1422.030029296875
1689312322.355882,565620,1415.6400146484375
1689312337.672152,567600,1412.3800048828125
1689312348.6946845,569004,1420.010009765625
1689312380.102438,573040,1422.699951171875
1689312394.4861565,574860,1428.280029296875
